Audiences,Date
174587,20150903
220000,20150904
488772,20150905
429365,20150906
105044,20150907
90626,20150908
93511,20150909
77186,20150910
128182,20150911
307993,20150912
259083,20150913
56227,20150914
51694,20150915
21960,20150916
20634,20150917
32120,20150918
73188,20150919
66136,20150920
16319,20150921
15854,20150922
16911,20150923
4369,20150924
10595,20150925
13741,20150926
13564,20150927
17461,20150928
15430,20150929
4708,20150930
1847,20151001
2120,20151002
4429,20151003
3483,20151004
744,20151005
819,20151006
919,20151007
