Audiences,Date
136094,20110922
171720,20110923
306927,20110924
288029,20110925
130287,20110926
149423,20110927
177794,20110928
194912,20110929
228407,20110930
392071,20111001
402555,20111002
338232,20111003
117283,20111004
114054,20111005
112590,20111006
125184,20111007
202928,20111008
171328,20111009
73228,20111010
68395,20111011
55015,20111012
53223,20111013
63559,20111014
97104,20111015
79207,20111016
33437,20111017
30311,20111018
27494,20111019
19768,20111020
23521,20111021
38224,20111022
29113,20111023
15521,20111024
14296,20111025
13665,20111026
7333,20111027
7816,20111028
12439,20111029
11333,20111030
5727,20111031
5097,20111101
2887,20111102
983,20111103
1373,20111104
1446,20111105
1567,20111106
656,20111107
1006,20111108
844,20111109
288,20111110
304,20111111
446,20111112
406,20111113
243,20111114
201,20111115
386,20111116
30,20111117
40,20111118
238,20111119
62,20111120
38,20111121
25,20111122
523,20111123
404,20111124
888,20111125
44,20111126
25,20111127
22,20111128
61,20111129
179,20111130
7,20111201
20,20111202
8,20111203
13,20111204
2,20111205
4,20111206
6,20111207
2,20111208
4,20111209
6,20111210
13,20111211
4,20111212
2,20111213
1,20111214
5,20111215
7,20111216
7,20111217
5,20111218
2,20111219
2,20111220
119,20111221
0,20111222
0,20111223
0,20111224
0,20111225
0,20111226
0,20111227
0,20111228
0,20111229
0,20111230
0,20111231
0,20120101
0,20120102
0,20120103
0,20120104
0,20120105
0,20120106
0,20120107
0,20120108
0,20120109
0,20120110
0,20120111
0,20120112
0,20120113
0,20120114
0,20120115
0,20120116
0,20120117
0,20120118
0,20120119
0,20120120
0,20120121
0,20120122
0,20120123
0,20120124
0,20120125
0,20120126
0,20120127
0,20120128
0,20120129
0,20120130
0,20120131
0,20120201
0,20120202
0,20120203
0,20120204
0,20120205
0,20120206
0,20120207
0,20120208
0,20120209
0,20120210
0,20120211
0,20120212
0,20120213
0,20120214
0,20120215
103979,20120216
112931,20120217
224549,20120218
199175,20120219
76849,20120220
72943,20120221
63585,20120222
59220,20120223
65163,20120224
140143,20120225
129081,20120226
49070,20120227
48501,20120228
33126,20120229
63310,20120301
18810,20120302
45631,20120303
40596,20120304
9004,20120305
8531,20120306
7651,20120307
3248,20120308
3657,20120309
11275,20120310
9714,20120311
2100,20120312
2075,20120313
1527,20120314
206,20120315
243,20120316
462,20120317
721,20120318
164,20120319
178,20120320
151,20120321
8,20120322
10,20120323
24,20120324
32,20120325
2,20120326
