Audiences,Date
239692,20130620
283064,20130621
527193,20130622
493346,20130623
196770,20130624
178454,20130625
186106,20130626
149700,20130627
195625,20130628
385251,20130629
350345,20130630
133045,20130701
123822,20130702
108231,20130703
93169,20130704
143002,20130705
268101,20130706
220481,20130707
64612,20130708
74179,20130709
75063,20130710
53268,20130711
70387,20130712
142655,20130713
132910,20130714
38423,20130715
36222,20130716
29955,20130717
19205,20130718
31239,20130719
43894,20130720
40243,20130721
17629,20130722
16279,20130723
13042,20130724
7716,20130725
9372,20130726
12854,20130727
10933,20130728
9110,20130729
9184,20130730
406,20130731
