Audiences,Date
167315,20151217
168416,20151218
371867,20151219
361561,20151220
98706,20151221
94364,20151222
94209,20151223
204908,20151224
447073,20151225
279686,20151226
209518,20151227
63729,20151228
65516,20151229
78862,20151230
95004,20151231
154446,20160101
96874,20160102
67499,20160103
18947,20160104
17931,20160105
17420,20160106
8051,20160107
9680,20160108
19991,20160109
18724,20160110
5779,20160111
6265,20160112
7207,20160113
2438,20160114
1691,20160115
3813,20160116
3408,20160117
1115,20160118
1120,20160119
1296,20160120
587,20160121
534,20160122
1599,20160123
1434,20160124
395,20160125
478,20160126
560,20160127
31,20160128
108,20160129
220,20160130
226,20160131
66,20160201
140,20160202
71,20160203
8,20160204
26,20160205
34,20160206
29,20160207
109,20160208
108,20160209
112,20160210
