Audiences,Date
140127,20110810
157484,20110811
201738,20110812
394797,20110813
427209,20110814
421948,20110815
169241,20110816
162099,20110817
153390,20110818
185875,20110819
374920,20110820
343399,20110821
127541,20110822
121268,20110823
108675,20110824
103654,20110825
134963,20110826
310059,20110827
269967,20110828
86144,20110829
84140,20110830
74089,20110831
65515,20110901
80205,20110902
205925,20110903
184614,20110904
51340,20110905
48066,20110906
37922,20110907
35494,20110908
70499,20110909
183168,20110910
181319,20110911
254958,20110912
269513,20110913
118260,20110914
44672,20110915
53407,20110916
148667,20110917
126831,20110918
33466,20110919
31252,20110920
28487,20110921
22466,20110922
29846,20110923
70679,20110924
67096,20110925
20782,20110926
20530,20110927
20905,20110928
17931,20110929
19858,20110930
37336,20111001
44548,20111002
44520,20111003
9788,20111004
9049,20111005
8479,20111006
13595,20111007
22503,20111008
18700,20111009
6968,20111010
7099,20111011
4266,20111012
3452,20111013
5639,20111014
7633,20111015
6656,20111016
2585,20111017
3437,20111018
3855,20111019
1051,20111020
971,20111021
1946,20111022
1601,20111023
1247,20111024
1161,20111025
1217,20111026
487,20111027
564,20111028
465,20111029
369,20111030
128,20111031
558,20111101
425,20111102
14,20111103
26,20111104
95,20111105
37,20111106
337,20111107
230,20111108
57,20111109
19,20111110
13,20111111
60,20111112
34,20111113
12,20111114
4,20111115
21,20111116
