Audiences,Date
122543,20160629
101930,20160630
130409,20160701
272528,20160702
249982,20160703
113311,20160704
128738,20160705
91414,20160706
81060,20160707
97512,20160708
162131,20160709
149563,20160710
56228,20160711
52860,20160712
36334,20160713
32019,20160714
30864,20160715
54585,20160716
43381,20160717
24822,20160718
24772,20160719
3600,20160720
3172,20160721
3166,20160722
2854,20160723
2426,20160724
2136,20160725
2162,20160726
39,20160727
41,20160728
42,20160729
42,20160730
25,20160731
8,20160801
12,20160802
