Audiences,Date
414219,20150805
404907,20150806
477754,20150807
715334,20150808
723999,20150809
420701,20150810
407694,20150811
392815,20150812
406788,20150813
715051,20150814
827984,20150815
711071,20150816
310651,20150817
275747,20150818
244240,20150819
223836,20150820
285776,20150821
535808,20150822
524191,20150823
169321,20150824
181855,20150825
200266,20150826
138587,20150827
192462,20150828
454912,20150829
432706,20150830
144260,20150831
122026,20150901
112792,20150902
87190,20150903
116808,20150904
257263,20150905
227365,20150906
67059,20150907
58658,20150908
57463,20150909
52595,20150910
72154,20150911
167184,20150912
140466,20150913
45068,20150914
41749,20150915
274951,20150916
248951,20150917
313682,20150918
604918,20150919
556203,20150920
174043,20150921
166998,20150922
163452,20150923
130428,20150924
260958,20150925
466415,20150926
647128,20150927
777316,20150928
615954,20150929
205426,20150930
131499,20151001
128173,20151002
251018,20151003
195902,20151004
62319,20151005
60963,20151006
61492,20151007
49084,20151008
98035,20151009
90493,20151010
76343,20151011
22955,20151012
22883,20151013
23397,20151014
15666,20151015
18842,20151016
35501,20151017
32873,20151018
11171,20151019
11618,20151020
11397,20151021
3598,20151022
4427,20151023
6965,20151024
6535,20151025
3068,20151026
3419,20151027
1611,20151028
868,20151029
963,20151030
1511,20151031
1266,20151101
559,20151102
687,20151103
537,20151104
191346,20151105
272957,20151106
582307,20151107
551730,20151108
187859,20151109
163350,20151110
227432,20151111
228860,20151112
248361,20151113
460175,20151114
381136,20151115
129790,20151116
135058,20151117
111881,20151118
84300,20151119
112548,20151120
202299,20151121
173499,20151122
60776,20151123
54217,20151124
57398,20151125
40083,20151126
52998,20151127
96830,20151128
87225,20151129
34267,20151130
30411,20151201
28328,20151202
25300,20151203
35376,20151204
64201,20151205
57244,20151206
20858,20151207
21635,20151208
20188,20151209
22345,20151210
31563,20151211
53968,20151212
48632,20151213
16499,20151214
18580,20151215
5862,20151216
1401,20151217
1617,20151218
1655,20151219
1169,20151220
874,20151221
784,20151222
564,20151223
712,20151224
966,20151225
233,20151226
90,20151227
31,20151228
27,20151229
