Audiences,Date
872673,20160720
663365,20160721
738823,20160722
1282013,20160723
1195273,20160724
499070,20160725
419947,20160726
422625,20160727
299267,20160728
337649,20160729
579808,20160730
537035,20160731
347408,20160801
303302,20160802
192508,20160803
163943,20160804
171553,20160805
230186,20160806
221087,20160807
132709,20160808
120124,20160809
75390,20160810
74831,20160811
81460,20160812
125119,20160813
139865,20160814
125893,20160815
52165,20160816
37250,20160817
35379,20160818
39545,20160819
72894,20160820
68138,20160821
29471,20160822
26248,20160823
23819,20160824
17647,20160825
20767,20160826
41626,20160827
40508,20160828
14435,20160829
13194,20160830
14523,20160831
8965,20160901
10601,20160902
23318,20160903
23161,20160904
8215,20160905
6997,20160906
938,20160907
1100,20160908
1951,20160909
2401,20160910
2281,20160911
1094,20160912
1029,20160913
1145,20160914
1750,20160915
1813,20160916
1127,20160917
533,20160918
247,20160919
122,20160920
113,20160921
29,20160922
25,20160923
15,20160924
3,20160925
26,20160926
36,20160927
120,20160928
3,20160929
2,20160930
