Audiences,Date
149211,20121219
74762,20121220
94686,20121221
162277,20121222
159849,20121223
173362,20121224
206156,20121225
71310,20121226
72127,20121227
87984,20121228
140301,20121229
142500,20121230
133645,20121231
141880,20130101
55264,20130102
47196,20130103
53044,20130104
101167,20130105
92726,20130106
36225,20130107
37001,20130108
18852,20130109
15996,20130110
18918,20130111
35025,20130112
30366,20130113
11838,20130114
11605,20130115
11271,20130116
3814,20130117
3964,20130118
6603,20130119
5766,20130120
2701,20130121
2992,20130122
188,20130123
102,20130124
103,20130125
139,20130126
166,20130127
74,20130128
152,20130129
11,20130130
4,20130131
2,20130201
8,20130202
7,20130203
