Audiences,Date
56370,20150813
84681,20150814
90596,20150815
80754,20150816
42213,20150817
41701,20150818
48889,20150819
25537,20150820
30551,20150821
48054,20150822
51287,20150823
24286,20150824
26926,20150825
34232,20150826
21514,20150827
26195,20150828
51879,20150829
47398,20150830
18834,20150831
17623,20150901
18118,20150902
5783,20150903
6763,20150904
14146,20150905
13278,20150906
4296,20150907
4337,20150908
4750,20150909
2695,20150910
2766,20150911
5912,20150912
5477,20150913
2892,20150914
1920,20150915
150,20150916
149,20150917
274,20150918
607,20150919
202,20150920
92,20150921
118,20150922
125,20150923
