Audiences,Date
141261,20120524
197935,20120525
403134,20120526
470574,20120527
452910,20120528
92725,20120529
81908,20120530
79328,20120531
98089,20120601
235165,20120602
201186,20120603
49211,20120604
64022,20120605
158188,20120606
35395,20120607
45422,20120608
114097,20120609
96294,20120610
22893,20120611
19395,20120612
19754,20120613
17479,20120614
26158,20120615
59134,20120616
50635,20120617
14365,20120618
14699,20120619
16153,20120620
9312,20120621
11996,20120622
25009,20120623
23482,20120624
8185,20120625
8131,20120626
8813,20120627
175,20120628
272,20120629
374,20120630
360,20120701
56,20120702
115,20120703
75,20120704
172,20120705
86,20120706
