Audiences,Date
321653,20150101
195283,20150102
243237,20150103
203340,20150104
85036,20150105
81143,20150106
66634,20150107
63678,20150108
74696,20150109
152216,20150110
137591,20150111
46695,20150112
42989,20150113
17697,20150114
16118,20150115
19797,20150116
33090,20150117
26579,20150118
11723,20150119
10908,20150120
1171,20150121
1487,20150122
1280,20150123
2128,20150124
2071,20150125
899,20150126
1028,20150127
129,20150128
125,20150129
70,20150130
89,20150131
125,20150201
73,20150202
76,20150203
