ActorID,BirthDate,Name,TotalAudiences
10005839,19740907,김지영,5874818
20165517,19831122,김지우,2368267
10005877,19740722,김지호,3451025
20111572,19790000,김지훈,1462972
20063982,19750729,김진숙,1514708
10005995,19540000,김창완,3863766
10006037,19790608,김철준,5463589
20201026,19900424,김태리,4287839
10006120,19710415,김태우,8666046
10005767,19690716,김태한,8402184
10006155,19750526,김태훈,23791930
10006158,19800329,김태희,1246836
10006171,19780221,김하늘,9646392
10006219,19640000,김해곤,11811850
10006221,19551230,김해숙,34328267
10006228,20000809,김향기,15243307
10006238,19821221,김혁,2598136
20129449,20000623,김현수,6771095
10006273,19781016,김현숙,14739462
10006278,19741213,김현아,5031833
20132757,19751125,김형범,7933107
10006345,19601228,김형일,1703097
10006379,19880114,김혜성,5218055
10006380,19700905,김혜수,34165492
10006385,19580000,김혜옥,10680806
10006390,19411025,김혜자,2979213
10006424,19680310,김호정,2824855
20175721,19620105,김홍파,47331626
20235266,20020825,김환희,6879908
20125466,19840000,김효서,6178248
10006497,19840210,김효진,15522346
10006506,19690917,김훈희,1724709
10006537,19670423,김희애,3334558
10006545,19710110,김희원,18363138
20267510,19880000,김희진,7049643
10006649,19870603,나가사와 마사미,3651886
10006877,19411130,나문희,18569260
10006964,19610920,나영희,3451025
20112741,19680928,나오미 왓츠,3469311
10006980,19760906,나오미 해리스,3705548
10007153,19720914,나카무라 시도,1570703
20112223,19810609,나탈리 포트만,7822553
10007481,19580312,남경읍,8719369
10007486,19780312,남궁민,1829887
10007494,19841014,남궁은숙,4018059
10007498,19850426,남규리,1634192
10007511,19461210,남능미,2135509
10007518,19721109,남문철,10338123
20112888,19891127,남보라,13106549
10007527,19840503,남상미,4089656
10007577,19380525,남일우,20700834
10007590,19950917,남지현,2394453
10079231,19941217,냇 울프,3610564
20236729,19860529,노민우,20910156
20115461,19971118,노아 링어,1371164
20208707,20010000,노정의,3024579
10008251,19851125,노형욱,748380
10008581,19670620,니콜 키드먼,3242654
20115462,19941206,니콜라 펠츠,6667000
10008729,19640107,니콜라스 케이지,3278120
10008764,19891207,니콜라스 홀트,6782161
10036298,20031222,닐 세티,2537438
20113745,19730615,닐 패트릭 해리스,2791669
10009077,19770513,닐 홉킨스,860340
10009288,19890723,다니엘 래드클리프,21622521
10009451,19680302,다니엘 크레이그,10274134
10088518,19791128,다니엘 헤니,8419540
10009807,19650122,다이안 레인,4969735
10009818,19460105,다이안 키튼,2601734
10009848,19760715,다이앤 크루거,4232351
10009988,19990822,다코타 고요,1056250
10009990,19940223,다코타 패닝,5297691
10010002,19660520,다토 바크하제,1400301
10010368,19821010,댄 스티븐스,6221530
10010417,19761020,댄 포글러,4662534
10010611,19370808,더스틴 호프만,14669054
10010738,19570818,데니스 리어리,2513768
10010828,19540409,데니스 퀘이드,5504370
10011098,19900423,데브 파텔,2477584
10009173,19550602,데이너 카비,2520670
20173182,19820730,데이몬 웨이언스 주니어,2801949
20125951,19690118,데이브 바티스타,1311190
20175045,19850612,데이브 프랑코,5818340
10011916,19661102,데이빗 쉼머,2860268
10012123,19640404,데이빗 크로스,3984812
20126770,19870206,데인 드한,4168353
20209526,19930112,도경수,2979659
20127599,19750216,도니 제프콧,2292172
10012810,19780602,도미닉 쿠퍼,2485025
20128252,19910000,도지한,11254760
10013003,19641129,돈 치들,23596751
20181781,19830512,돔놀 글리슨,5659299
10013224,19750222,드류 베리모어,1999118
10013266,19720502,드웨인 존슨,14807658
10019472,19910826,딜런 오브라이언,5556840
20113455,19780321,라니 무케르지,861570
10015407,19460727,라드 세르베드지야,2308596
10013826,19750306,라미란,53813257
10014012,19801112,라이언 고슬링,2385108
10014018,19761023,라이언 레놀즈,7188020
10048668,19950912,라이언 포터,2801949
20138858,19890529,라일리 코프,3843343
20167180,19830310,라프 스팰,1588373
10014377,19621222,랄프 파인즈,5018628
10014740,19640407,러셀 크로우,11700022
10014824,19731003,레나 헤디,4522677
20175409,19831019,레베카 퍼거슨,6126488
10014990,19820503,레베카 홀,9001331
20187018,19860203,레벨 윌슨,1101678
10015127,19850701,레아 세이두,1820760
10015191,19741111,레오나르도 디카프리오,10270103
10015317,19571221,레이 로마노,1648110
10015346,19640524,레이 스티븐슨,1855917
10015360,19570219,레이 윈스톤,968535
10015375,19750823,레이 파크,1855917
10015500,19781117,레이첼 맥아담스,8302304
10015510,19810825,레이첼 빌슨,1665268
10015525,19710307,레이첼 와이즈,1736163
10015549,19790324,레이크 벨,2520670
10015755,19920119,로건 레먼,5234888
10015946,19750822,로드리고 산토로,2993417
10016307,19610730,로렌스 피쉬번,2256913
10016538,19650404,로버트 다우니 주니어,47437122
10016564,19430817,로버트 드니로,4508295
10016593,19360818,로버트 레드포드,3963251
